Point ID,arc_length,Displacements_0,Displacements_1,Displacements_2,Points_Magnitude
0,0,0,0,0,0
1,0.00089999998454,-8.251701500742e-18,-1.788418586557e-07,0,0.00089999998454
2,0.00179999996908,-1.650339969276e-17,-3.789010918354e-07,0,0.00179999996908
3,0.002700000070035,-2.475509540324e-17,-6.001777137499e-07,0,0.002700000070035
4,0.00359999993816,-3.300678615063e-17,-8.426716817667e-07,0,0.00359999993816
5,0.004499999806285,-4.125847193494e-17,-1.106383024307e-06,0,0.004499999806285
6,0.005400000140071,-4.951016102798e-17,-1.391311798216e-06,0,0.005400000140071
7,0.006300000008196,-5.776183688612e-17,-1.697457832961e-06,0,0.006300000008196
8,0.00719999987632,-6.601351936171e-17,-2.02482124223e-06,0,0.00719999987632
9,0.008100000210106,-7.426519521985e-17,-2.373402367084e-06,0,0.008100000210106
10,0.00899999961257,-8.251685784311e-17,-2.743200184341e-06,0,0.00899999961257
11,0.009899999946356,-9.07685270838e-17,-3.134216058243e-06,0,0.009899999946356
12,0.01080000028014,-9.90201963245e-17,-3.546449079295e-06,0,0.01080000028014
13,0.01169999968261,-1.072718457129e-16,-3.979899247497e-06,0,0.01169999968261
14,0.01260000001639,-1.155235017187e-16,-4.434567017597e-06,0,0.01260000001639
15,0.01350000035018,-1.237751643419e-16,-4.910452389595e-06,0,0.01350000035018
16,0.01439999975264,-1.320268137303e-16,-5.407554453996e-06,0,0.01439999975264
17,0.01530000008643,-1.402784631187e-16,-5.925874575041e-06,0,0.01530000008643
18,0.01620000042021,-1.485300992721e-16,-6.465411843237e-06,0,0.01620000042021
19,0.017100000754,-1.567817486605e-16,-7.026166713331e-06,0,0.017100000754
20,0.01799999922514,-1.650333715791e-16,-7.608137366333e-06,0,0.01799999922514
21,0.01889999955893,-1.732849944977e-16,-8.211326530727e-06,0,0.01889999955893
22,0.01979999989271,-1.815366306511e-16,-8.835733751766e-06,0,0.01979999989271
23,0.0207000002265,-1.897882535697e-16,-9.481358574703e-06,0,0.0207000002265
24,0.02160000056028,-1.980398897232e-16,-1.014820009004e-05,0,0.02160000056028
25,0.02250000089407,-2.062914994069e-16,-1.083625920728e-05,0,0.02250000089407
26,0.02339999936521,-2.145431090906e-16,-1.154553410743e-05,0,0.02339999936521
27,0.024299999699,-2.227947055394e-16,-1.227602751896e-05,0,0.024299999699
28,0.02520000003278,-2.310463152231e-16,-1.30277385324e-05,0,0.02520000003278
29,0.02610000036657,-2.392979249068e-16,-1.380066714773e-05,0,0.02610000036657
30,0.02700000070035,-2.475495345905e-16,-1.459481336497e-05,0,0.02700000070035
31,0.0278999991715,-2.558011178044e-16,-1.541017445561e-05,0,0.0278999991715
32,0.02879999950528,-2.640527274881e-16,-1.624675496714e-05,0,0.02879999950528
33,0.02969999983907,-2.72304310702e-16,-1.710455399007e-05,0,0.02969999983907
34,0.03060000017285,-2.805558939159e-16,-1.798356970539e-05,0,0.03060000017285
35,0.03150000050664,-2.888074771298e-16,-1.888380211312e-05,0,0.03150000050664
36,0.03240000084043,-2.970590603437e-16,-1.980525303225e-05,0,0.03240000084043
37,0.03330000117421,-3.053106435576e-16,-2.074792064377e-05,0,0.03330000117421
38,0.034200001508,-3.135622267716e-16,-2.17118049477e-05,0,0.034200001508
39,0.03510000184178,-3.218137835157e-16,-2.269690776302e-05,0,0.03510000184178
40,0.03599999845028,-3.300653137901e-16,-2.370322363277e-05,0,0.03599999845028
41,0.03689999878407,-3.38316897004e-16,-2.473075983289e-05,0,0.03689999878407
42,0.03779999911785,-3.465684537481e-16,-2.577951454441e-05,0,0.03779999911785
43,0.03869999945164,-3.548200104922e-16,-2.684948594833e-05,0,0.03869999945164
44,0.03959999978542,-3.630715672364e-16,-2.794067586365e-05,0,0.03959999978542
45,0.04050000011921,-3.713231239805e-16,-2.905308247136e-05,0,0.04050000011921
46,0.041400000453,-3.795746542549e-16,-3.018670577148e-05,0,0.041400000453
47,0.04230000078678,-3.87826210999e-16,-3.1341547583e-05,0,0.04230000078678
48,0.04320000112057,-3.960777412734e-16,-3.25176079059e-05,0,0.04320000112057
49,0.04410000145435,-4.043292715477e-16,-3.371488128323e-05,0,0.04410000145435
50,0.04500000178814,-4.125808018221e-16,-3.493337499094e-05,0,0.04500000178814
51,0.04589999839664,-4.208323056266e-16,-3.617308175308e-05,0,0.04589999839664
52,0.04679999873042,-4.29083835901e-16,-3.743400884559e-05,0,0.04679999873042
53,0.04769999906421,-4.373353661754e-16,-3.871615626849e-05,0,0.04769999906421
54,0.04859999939799,-4.455868699799e-16,-4.001952038379e-05,0,0.04859999939799
55,0.04949999973178,-4.538384002543e-16,-4.134409755352e-05,0,0.04949999973178
56,0.05040000006557,-4.620899305286e-16,-4.268989869161e-05,0,0.05040000006557
57,0.05130000039935,-4.703414078634e-16,-4.405691288412e-05,0,0.05130000039935
58,0.05220000073314,-4.785929381378e-16,-4.544514376903e-05,0,0.05220000073314
59,0.05310000106692,-4.868444154726e-16,-4.685459498432e-05,0,0.05310000106692
60,0.05400000140071,-4.950958928074e-16,-4.828526289202e-05,0,0.05400000140071
61,0.0549000017345,-5.033474230817e-16,-4.973714749212e-05,0,0.0549000017345
62,0.05579999834299,-5.11598847477e-16,-5.121024150867e-05,0,0.05579999834299
63,0.05669999867678,-5.198503777513e-16,-5.270456313156e-05,0,0.05669999867678
64,0.05759999901056,-5.281018550861e-16,-5.422009780887e-05,0,0.05759999901056
65,0.05849999934435,-5.363533324209e-16,-5.575685281656e-05,0,0.05849999934435
66,0.05939999967813,-5.446048097557e-16,-5.731482451665e-05,0,0.05939999967813
67,0.06030000001192,-5.528562870905e-16,-5.889401290915e-05,0,0.06030000001192
68,0.06120000034571,-5.611077644253e-16,-6.049442163203e-05,0,0.06120000034571
69,0.06210000067949,-5.693591888205e-16,-6.211604340933e-05,0,0.06210000067949
70,0.06300000101328,-5.776106661553e-16,-6.375888187904e-05,0,0.06300000101328
71,0.06390000134706,-5.858621434901e-16,-6.542294431711e-05,0,0.06390000134706
72,0.06480000168085,-5.941135678854e-16,-6.710821617162e-05,0,0.06480000168085
73,0.06570000201464,-6.023650452202e-16,-6.881471199449e-05,0,0.06570000201464
74,0.06660000234842,-6.106164696154e-16,-7.054242450977e-05,0,0.06660000234842
75,0.06750000268221,-6.188679469502e-16,-7.229135371745e-05,0,0.06750000268221
76,0.068400003016,-6.271193713454e-16,-7.406149961753e-05,0,0.068400003016
77,0.06930000334978,-6.353707957407e-16,-7.585286221001e-05,0,0.06930000334978
78,0.07020000368357,-6.436222201359e-16,-7.76654414949e-05,0,0.07020000368357
79,0.07109999656677,-6.518735915916e-16,-7.949922292028e-05,0,0.07109999656677
80,0.07199999690056,-6.601250159868e-16,-8.135423558997e-05,0,0.07199999690056
81,0.07289999723434,-6.683764403821e-16,-8.323047222802e-05,0,0.07289999723434
82,0.07379999756813,-6.766278647773e-16,-8.512791828252e-05,0,0.07379999756813
83,0.07469999790192,-6.848792891725e-16,-8.704658830538e-05,0,0.07469999790192
84,0.0755999982357,-6.931307135678e-16,-8.898646774469e-05,0,0.0755999982357
85,0.07649999856949,-7.01382137963e-16,-9.094757115236e-05,0,0.07649999856949
86,0.07739999890327,-7.096335094187e-16,-9.292989125242e-05,0,0.07739999890327
87,0.07829999923706,-7.178849338139e-16,-9.49334280449e-05,0,0.07829999923706
88,0.07919999957085,-7.261363052696e-16,-9.695818152977e-05,0,0.07919999957085
89,0.08009999990463,-7.343877296648e-16,-9.900415170705e-05,0,0.08009999990463
90,0.08100000023842,-7.426391011205e-16,-0.0001010713385767,0,0.08100000023842
91,0.0819000005722,-7.508905255158e-16,-0.0001031597494148,0,0.0819000005722
92,0.08280000090599,-7.591418969714e-16,-0.0001052693696693,0,0.08280000090599
93,0.08370000123978,-7.673932684271e-16,-0.0001074002138921,0,0.08370000123978
94,0.08460000157356,-7.756446398828e-16,-0.0001095522675314,0,0.08460000157356
95,0.08550000190735,-7.838960113385e-16,-0.0001117255451391,0,0.08550000190735
96,0.08640000224113,-7.921473827941e-16,-0.0001139200394391,0,0.08640000224113
97,0.08730000257492,-8.003987542498e-16,-0.0001161357504316,0,0.08730000257492
98,0.08820000290871,-8.086501257055e-16,-0.0001183726781164,0,0.08820000290871
99,0.08910000324249,-8.169014971612e-16,-0.0001206308224937,0,0.08910000324249
100,0.09000000357628,-8.251528686169e-16,-0.0001229101908393,0,0.09000000357628
101,0.09089999645948,-8.334041341934e-16,-0.0001252107467735,0,0.09089999645948
102,0.09179999679327,-8.416555056491e-16,-0.000127532548504,0,0.09179999679327
103,0.09269999712706,-8.499068241652e-16,-0.0001298755523749,0,0.09269999712706
104,0.09359999746084,-8.581581956209e-16,-0.0001322397874901,0,0.09359999746084
105,0.09449999779463,-8.66409514137e-16,-0.0001346252392977,0,0.09449999779463
106,0.09539999812841,-8.746608326531e-16,-0.0001370319077978,0,0.09539999812841
107,0.0962999984622,-8.829122041088e-16,-0.0001394597929902,0,0.0962999984622
108,0.09719999879599,-8.911634696854e-16,-0.0001419088948751,0,0.09719999879599
109,0.09809999912977,-8.99414841141e-16,-0.0001443792134523,0,0.09809999912977
110,0.09899999946356,-9.076662125967e-16,-0.000146870748722,0,0.09899999946356
111,0.09989999979734,-9.159174781733e-16,-0.0001493835006841,0,0.09989999979734
112,0.1008000001311,-9.24168849629e-16,-0.0001519174693385,0,0.1008000001311
113,0.1017000004649,-9.324201152055e-16,-0.0001544726546854,0,0.1017000004649
