Point ID,arc_length,Displacements_0,Displacements_1,Displacements_2,Points_0,Points_1,Points_2,Points_Magnitude
0,0,0,0,0,0,0,0,0
1,0.00089999998454,1.909534643851e-14,1.088537331384e-07,0,0.00089999998454,0,0,0.00089999998454
2,0.00179999996908,3.819064205504e-14,1.837369723034e-07,0,0.00179999996908,0,0,0.00179999996908
3,0.002700000070035,5.728588854366e-14,2.246497246006e-07,0,0.002700000070035,0,0,0.002700000070035
4,0.00359999993816,7.638108082218e-14,2.315919545026e-07,0,0.00359999993816,0,0,0.00359999993816
5,0.004499999806285,9.547621211432e-14,2.045637046422e-07,0,0.004499999806285,0,0,0.004499999806285
6,0.005400000140071,1.113261501214e-13,1.466897288083e-07,0,0.005400000140071,0,0,0.005400000140071
7,0.006300000008196,1.293152325672e-13,5.955564219562e-08,0,0.006300000008196,0,0,0.006300000008196
8,0.00719999987632,1.495553897737e-13,-5.686015569495e-08,0,0.00719999987632,0,0,0.00719999987632
9,0.008100000210106,1.720466352934e-13,-2.025577430231e-07,0,0.008100000210106,0,0,0.008100000210106
10,0.00899999961257,1.967889284686e-13,-3.775368782044e-07,0,0.00899999961257,0,0,0.00899999961257
11,0.009899999946356,2.445026874107e-13,-5.79741765705e-07,0,0.009899999946356,0,0,0.009899999946356
12,0.01080000028014,2.802023478694e-13,-8.076025892478e-07,0,0.01080000028014,0,0,0.01080000028014
13,0.01169999968261,3.023956410796e-13,-1.06113725451e-06,0,0.01169999968261,0,0,0.01169999968261
14,0.01260000001639,3.110826212512e-13,-1.340346329926e-06,0,0.01260000001639,0,0,0.01260000001639
15,0.01350000035018,3.062632883844e-13,-1.645229417591e-06,0,0.01350000035018,0,0,0.01350000035018
16,0.01439999975264,3.257539908392e-13,-1.975019358724e-06,0,0.01439999975264,0,0,0.01439999975264
17,0.01530000008643,3.478185079363e-13,-2.328418759134e-06,0,0.01530000008643,0,0,0.01530000008643
18,0.01620000042021,3.698830521384e-13,-2.705411588977e-06,0,0.01620000042021,0,0,0.01620000042021
19,0.017100000754,3.919475692355e-13,-3.105997848252e-06,0,0.017100000754,0,0,0.017100000754
20,0.01799999922514,4.140120592275e-13,-3.530176400091e-06,0,0.01799999922514,0,0,0.01799999922514
21,0.01889999955893,4.197511207973e-13,-3.977650521847e-06,0,0.01889999955893,0,0,0.01889999955893
22,0.01979999989271,4.322178194776e-13,-4.447747869563e-06,0,0.01979999989271,0,0,0.01979999989271
23,0.0207000002265,4.536887358852e-13,-4.940452072333e-06,0,0.0207000002265,0,0,0.0207000002265
24,0.02160000056028,4.841638700202e-13,-5.45576267541e-06,0,0.02160000056028,0,0,0.02160000056028
25,0.02250000089407,5.236432489876e-13,-5.993680133543e-06,0,0.02250000089407,0,0,0.02250000089407
26,0.02339999936521,5.16394598523e-13,-6.554033916473e-06,0,0.02339999936521,0,0,0.02339999936521
27,0.024299999699,5.185812716746e-13,-7.136589829315e-06,0,0.024299999699,0,0,0.024299999699
28,0.02520000003278,5.387764344909e-13,-7.741345143586e-06,0,0.02520000003278,0,0,0.02520000003278
29,0.02610000036657,5.76980086972e-13,-8.36830076878e-06,0,0.02610000036657,0,0,0.02610000036657
30,0.02700000070035,6.331922291179e-13,-9.017455340654e-06,0,0.02700000070035,0,0,0.02700000070035
31,0.0278999991715,6.306000643538e-13,-9.688735190139e-06,0,0.0278999991715,0,0,0.0278999991715
32,0.02879999950528,6.323810832626e-13,-1.038208574755e-05,0,0.02879999950528,0,0,0.02879999950528
33,0.02969999983907,6.521705918361e-13,-1.109750974138e-05,0,0.02969999983907,0,0,0.02969999983907
34,0.03060000017285,6.899685358643e-13,-1.183500626212e-05,0,0.03060000017285,0,0,0.03060000017285
35,0.03150000050664,7.457749153471e-13,-1.259457712877e-05,0,0.03150000050664,0,0,0.03150000050664
36,0.03240000084043,7.76157675457e-13,-1.337619050901e-05,0,0.03240000084043,0,0,0.03240000084043
37,0.03330000117421,7.988550684672e-13,-1.41798527693e-05,0,0.03330000117421,0,0,0.03330000117421
38,0.034200001508,8.215524614774e-13,-1.500556936662e-05,0,0.034200001508,0,0,0.034200001508
39,0.03510000184178,8.442498544876e-13,-1.585334030096e-05,0,0.03510000184178,0,0,0.03510000184178
40,0.03599999845028,8.669471932878e-13,-1.672316284385e-05,0,0.03599999845028,0,0,0.03599999845028
41,0.03689999878407,8.591863115068e-13,-1.76150315383e-05,0,0.03689999878407,0,0,0.03689999878407
42,0.03779999911785,8.5996146185e-13,-1.852896275523e-05,0,0.03779999911785,0,0,0.03779999911785
43,0.03869999945164,8.787450476479e-13,-1.946495831362e-05,0,0.03869999945164,0,0,0.03869999945164
44,0.03959999978542,9.155370689004e-13,-2.042302003247e-05,0,0.03959999978542,0,0,0.03959999978542
45,0.04050000011921,9.703376340278e-13,-2.140314973076e-05,0,0.04050000011921,0,0,0.04050000011921
46,0.041400000453,1.002680252195e-12,-2.240533831355e-05,0,0.041400000453,0,0,0.041400000453
47,0.04230000078678,1.025234367888e-12,-2.342960397073e-05,0,0.04230000078678,0,0,0.04230000078678
48,0.04320000112057,1.047788592001e-12,-2.447595034027e-05,0,0.04320000112057,0,0,0.04320000112057
49,0.04410000145435,1.070342816115e-12,-2.554437742219e-05,0,0.04410000145435,0,0,0.04410000145435
50,0.04500000178814,1.092896931808e-12,-2.663488521648e-05,0,0.04500000178814,0,0,0.04500000178814
51,0.04589999839664,1.057737773237e-12,-2.774746462819e-05,0,0.04589999839664,0,0,0.04589999839664
52,0.04679999873042,1.034703789662e-12,-2.888213566621e-05,0,0.04679999873042,0,0,0.04679999873042
53,0.04769999906421,1.047686568577e-12,-3.003889469255e-05,0,0.04769999906421,0,0,0.04769999906421
54,0.04859999939799,1.096686326821e-12,-3.121774352621e-05,0,0.04859999939799,0,0,0.04859999939799
55,0.04949999973178,1.181703064394e-12,-3.24186803482e-05,0,0.04949999973178,0,0,0.04949999973178
56,0.05040000006557,1.115674176308e-12,-3.364169970155e-05,0,0.05040000006557,0,0,0.05040000006557
57,0.05130000039935,1.045253944162e-12,-3.488680886221e-05,0,0.05130000039935,0,0,0.05130000039935
